# Impact Craters on Rhea
# Longitude(W) Latitude(N) Diameter(km) Name
184.07	14.47	449.82	Mamaldi
154.08	36.30	400.42	Tirawa
280.62	-7.92	257.61	Powehiwehi
302.64	-50.22	244.95	Izanagi
0.12	-8.07	156.40	
65.62	12.84	156.14	
58.79	53.05	148.68	Ormazd
73.26	31.21	148.27	
258.17	-53.26	140.36	
24.52	9.46	125.10	Nzame
270.10	49.18	119.34	Wakonda
43.91	10.89	119.18	
129.39	-7.25	119.10	Nishanu
80.76	42.91	115.47	
49.84	61.26	111.58	Bumba
88.22	70.89	111.51	Ellyay
28.56	54.48	110.84	
352.07	-24.40	109.93	Qat
45.43	-31.62	109.00	Djuli
222.57	-16.49	105.21	
92.03	-46.90	104.75	Samni
180.42	-66.51	99.38	
350.55	1.46	98.07	Xamba
74.36	-16.72	97.43	Dohitt
150.37	18.90	96.98	Vatea
359.13	-11.58	96.08	Kiho
168.31	-18.35	94.78	Purusa
114.74	-21.51	94.03	
175.21	-52.63	93.72	Ehecatl
146.99	-19.22	93.69	Abassi
98.77	-9.92	93.39	
92.87	0.15	92.49	
128.83	-17.09	91.73	
35.41	36.54	91.11	
177.28	19.25	89.01	
50.45	-19.00	88.85	
45.77	-13.55	88.26	Ligoupup
93.82	51.69	86.34	
155.24	-8.55	86.05	
11.91	-25.77	85.54	Con
220.45	52.10	84.08	
176.06	10.39	83.41	Fatu
154.97	-1.51	82.96	
257.99	3.04	82.90	
164.79	15.51	82.28	Seveki
65.31	-35.97	79.88	Madumda
213.22	-26.05	79.82	
57.30	-11.39	79.79	Tane
48.80	4.92	79.75	Nishke
208.18	7.34	78.76	Dangun
104.92	-51.89	78.62	
314.34	-48.02	78.60	Izanami
175.37	39.88	77.75	Gucumatz
29.13	-36.67	77.46	Haik
14.98	-37.93	77.01	Bulagat
148.09	-11.49	76.43	
76.80	-11.76	75.63	
8.27	-53.42	75.26	Melo
197.67	65.93	74.21	
316.61	9.55	74.10	Heller
113.25	-49.68	73.70	Zicum
